aqi,co,no2,o3,pm10,pm25,so2,time,fl,h,p,t,wd,ws
59.0,1.3,17.0,70.0,67.0,30.0,5,2022-08-15T00:00:00,33,95,,29,157.5,2.7777777777777777
58.0,1.2,15.0,64.0,60.0,41.0,3,2022-08-15T01:00:00,33,97,,28,157.5,3.0555555555555554
63.0,1.1,15.0,53.0,69.0,45.0,3,2022-08-15T02:00:00,32,96,,28,157.5,3.0555555555555554
57.0,1.0,17.0,47.0,64.0,35.0,3,2022-08-15T03:00:00,31,97,,27,135.0,2.7777777777777777
59.0,1.0,19.0,38.0,67.0,31.0,4,2022-08-15T04:00:00,30,96,,26,,2.7777777777777777
48.0,1.0,24.0,36.0,48.0,26.0,7,2022-08-15T05:00:00,29,94,,26,90.0,2.5
52.0,0.9,28.0,29.0,53.0,33.0,5,2022-08-15T06:00:00,25,92,,25,67.5,2.2222222222222223
45.0,0.8,26.0,34.0,43.0,31.0,3,2022-08-15T07:00:00,27,87,,25,67.5,2.2222222222222223
33.0,0.7,18.0,55.0,33.0,19.0,3,2022-08-15T08:00:00,27,82,,24,45.0,2.5
31.0,0.6,20.0,59.0,31.0,13.0,2,2022-08-15T09:00:00,26,78,,24,22.5,2.7777777777777777
28.0,0.5,16.0,71.0,28.0,10.0,2,2022-08-15T10:00:00,26,75,,24,22.5,2.7777777777777777
32.0,0.5,14.0,101.0,24.0,11.0,2,2022-08-15T11:00:00,24,71,,23,22.5,3.0555555555555554
36.0,0.5,12.0,114.0,20.0,8.0,2,2022-08-15T12:00:00,24,70,,23,22.5,3.3333333333333335
36.0,0.5,13.0,113.0,24.0,10.0,2,2022-08-15T13:00:00,33,70,,28,157.5,3.0555555555555554
38.0,0.5,13.0,120.0,22.0,14.0,2,2022-08-15T14:00:00,32,73,,28,157.5,3.0555555555555554
39.0,0.5,12.0,123.0,20.0,9.0,2,2022-08-15T15:00:00,31,74,,27,157.5,2.7777777777777777
38.0,0.4,12.0,120.0,19.0,11.0,2,2022-08-15T16:00:00,30,76,,27,135.0,2.7777777777777777
37.0,0.4,13.0,118.0,20.0,13.0,2,2022-08-15T17:00:00,25,81,,25,,2.2222222222222223
34.0,0.4,15.0,106.0,28.0,13.0,2,2022-08-15T18:00:00,24,84,,24,67.5,1.9444444444444444
32.0,0.4,15.0,100.0,29.0,17.0,2,2022-08-15T19:00:00,24,87,,24,45.0,1.6666666666666667
27.0,0.3,16.0,84.0,20.0,10.0,1,2022-08-15T20:00:00,24,87,,24,22.5,1.9444444444444444
20.0,0.4,24.0,61.0,20.0,14.0,1,2022-08-15T21:00:00,24,87,,24,22.5,1.9444444444444444
27.0,0.4,35.0,43.0,27.0,13.0,1,2022-08-15T22:00:00,24,86,,24,22.5,1.9444444444444444
23.0,0.3,45.0,36.0,23.0,10.0,2,2022-08-15T23:00:00,23,85,,23,22.5,2.5
34.0,0.7,67.0,10.0,26.0,16.0,3,2022-08-16T00:00:00,23,85,,23,22.5,3.0555555555555554
35.0,0.9,58.0,10.0,35.0,20.0,6,2022-08-16T01:00:00,22,83,,22,0.0,2.7777777777777777
38.0,0.6,38.0,16.0,38.0,11.0,12,2022-08-16T02:00:00,22,84,,22,0.0,3.0555555555555554
32.0,0.4,29.0,25.0,32.0,11.0,6,2022-08-16T03:00:00,21,81,,21,0.0,3.0555555555555554
24.0,0.3,22.0,38.0,24.0,12.0,6,2022-08-16T04:00:00,22,82,,22,0.0,2.7777777777777777
20.0,0.3,25.0,37.0,20.0,8.0,5,2022-08-16T05:00:00,23,80,,23,0.0,2.7777777777777777
